text_sizes,secant_different_sizes_enc,secant_different_sizes_dec,secant_different_sizes_total,secant_different_deg_enc,secant_different_deg_dec,secant_different_deg_total,aes_different_sizes_enc,aes_different_sizes_dec,aes_different_sizes_total,aes_different_keys_enc,aes_different_keys_dec,aes_different_keys_total,degrees,key_sizes,polynomials_degrees
5000,0.7716250419616699,0.09563732147216797,0.8672623634338379,2.469856023788452,0.4510016441345215,2.9208576679229736,0.5457043647766113,0.6823306083679199,1.2280349731445312,2.3401296138763428,3.0786566734313965,5.418786287307739,2.0,12.0,2.0
7500,1.1425251960754395,0.14243817329406738,1.2849633693695068,2.9665541648864746,0.49183177947998047,3.458385944366455,0.735466718673706,0.919727087020874,1.65519380569458,2.3725385665893555,3.1122167110443115,5.484755277633667,3.0,24.0,3.0
10000,1.574723243713379,0.18981623649597168,1.7645394802093506,5.287234783172607,0.5328643321990967,5.820099115371704,0.9340488910675049,1.1919407844543457,2.1259896755218506,2.3344533443450928,3.095696210861206,5.430149555206299,4.0,36.0,4.0
12500,1.9335613250732422,0.23695087432861328,2.1705121994018555,4.58964204788208,0.5677144527435303,5.15735650062561,1.0757832527160645,1.340766191482544,2.4165494441986084,2.364962339401245,2.9433321952819824,5.3082945346832275,5.0,48.0,5.0
15000,2.2324278354644775,0.2863335609436035,2.518761396408081,5.912463903427124,0.623131275177002,6.535595178604126,1.275996446609497,1.5622448921203613,2.8382413387298584,2.3674156665802,3.038217067718506,5.405632734298706,6.0,60.0,6.0
17500,2.685033082962036,0.33307576179504395,3.01810884475708,,,,1.4994306564331055,1.8294646739959717,3.328895330429077,,,,,,
20000,3.0100367069244385,0.37955546379089355,3.389592170715332,,,,1.6326277256011963,2.054154872894287,3.6867825984954834,,,,,,
22500,3.3412792682647705,0.42737531661987305,3.7686545848846436,,,,1.7874350547790527,2.3668158054351807,4.154250860214233,,,,,,
25000,3.754547357559204,0.4714198112487793,4.225967168807983,,,,1.9929168224334717,2.641281843185425,4.6341986656188965,,,,,,
27500,4.256634712219238,0.5217719078063965,4.778406620025635,,,,2.151897430419922,2.8379852771759033,4.989882707595825,,,,,,
30000,4.538316488265991,0.5623278617858887,5.10064435005188,,,,2.3522627353668213,3.0371735095977783,5.3894362449646,,,,,,
